OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
93fc37d2-b43a-4172-8a18-718d396d632a,BTC-ETH,LIMIT_SELL,0.4455304,0.04209608,0.00004688,0.01875511,11/8/17 18:29,11/8/17 18:29
6ca3812d-4a89-4305-ba74-be13cf68ead0,BTC-ETH,LIMIT_BUY,9.09668055,0.04928697,0.00112022,0.44810185,11/15/17 5:04,11/15/17 5:04
2eb60d10-6ed3-48d1-88c9-39b982c5d580,BTC-NAV,LIMIT_SELL,500,0.0001336,0.00016774,0.06711267,11/9/17 15:19,11/9/17 15:19
abeb09ca-3988-4036-8586-b4dcda1b0f30,BTC-OMG,LIMIT_SELL,20,0.0011295,0.00005647,0.02259,11/9/17 15:16,11/9/17 15:16
ca0352aa-49ea-4bac-b2db-75912ef1b396,BTC-NEO,LIMIT_SELL,100,0.00419259,0.00104814,0.419259,11/8/17 18:30,11/8/17 18:30
0e598b6b-a0e8-4729-ae76-54340b90217c,BTC-NAV,LIMIT_BUY,140,0.00034583,0.00012104,0.0484162,9/6/17 22:39,9/6/17 22:39
d69baeb6-f837-4bed-be45-9c2c253069bf,BTC-PAY,LIMIT_SELL,50,0.00094291,0.00011786,0.0471455,8/31/17 0:46,8/31/17 0:46
43cf6608-72eb-4577-b9e1-d57e9626407a,BTC-QTUM,LIMIT_BUY,10,0.003129,0.00007821,0.03128871,8/25/17 3:42,8/25/17 3:42
6954d123-8588-4c88-8d7d-0246fefc7e8d,BTC-GNT,LIMIT_BUY,549.068249,0.0002234,0.00030664,0.12266183,6/29/17 0:35,6/29/17 0:45
f7ef3ef3-1b51-4ae2-aa22-d37046975b5b,BTC-NEO,LIMIT_SELL,100,0.00787001,0.0019677,0.78708509,9/27/17 17:20,9/27/17 17:20
4c46592c-17be-4f81-b468-d97ef76ff8e6,ETH-MTL,LIMIT_BUY,10,0.03772035,0.00094265,0.37706284,9/16/17 16:58,9/16/17 16:58
4c58d7f0-8044-4706-a481-0ee3dd8b7f18,BTC-LSK,LIMIT_SELL,20,0.00169774,0.00008488,0.0339552,9/12/17 13:37,9/12/17 13:37
dfc3cb21-0589-49da-9cbf-90c009845f17,BTC-CVC,LIMIT_BUY,98,0.00008698,0.0000213,0.00852208,9/8/17 17:58,9/8/17 17:58
1b82f46f-ce4e-4d3a-a81a-660e7814bf43,BTC-GNT,LIMIT_BUY,400,0.00008829,0.00008829,0.035316,9/7/17 22:20,9/7/17 22:20
fa850178-519d-46a7-8e37-887f6a63fa90,BTC-SNT,LIMIT_BUY,275,0.0000095,0.00000653,0.0026125,9/6/17 22:47,9/6/17 22:47
0ebdb049-f2b3-4a84-b9fa-c958dbb43903,BTC-NAV,LIMIT_BUY,40,0.00034685,0.00003468,0.013874,9/6/17 22:46,9/6/17 22:46
526af2d9-3b3f-41f5-b372-05fe1e536585,BTC-MCO,LIMIT_SELL,10,0.0021588,0.00005397,0.021588,9/6/17 22:45,9/6/17 22:45
7800b7bd-09a3-4a4c-8d5b-2d9e83db9c1f,BTC-REP,LIMIT_SELL,10,0.00509198,0.0001273,0.0509202,9/6/17 22:38,9/6/17 22:38
79c8b252-cccf-46ef-b83e-e423d227b654,BTC-NAV,LIMIT_BUY,20,0.00034586,0.00001729,0.0069172,9/6/17 22:34,9/6/17 22:34
960d8df1-cfa8-4c0c-8453-9f957ddefb82,BTC-PAY,LIMIT_SELL,10,0.00066501,0.00001662,0.0066502,9/6/17 17:54,9/6/17 17:54
238d0037-6b40-4d19-afaa-8c38d5939c57,BTC-BURST,LIMIT_BUY,1500,0.00000292,0.00001094,0.00437999,9/6/17 17:47,9/6/17 17:47
24051b7b-5d79-4097-97ee-07173e78c30f,BTC-OMG,LIMIT_BUY,10,0.00254501,0.00006362,0.0254501,9/6/17 17:46,9/6/17 17:46
2c999910-95ff-46a0-bb43-514c8a78b73a,BTC-QTUM,LIMIT_SELL,10,0.00256,0.000064,0.0256,9/6/17 17:44,9/6/17 17:44
5dd1b4a1-b0ce-4cc7-b7d0-11299811cb17,BTC-RISE,LIMIT_BUY,20,0.0000925,0.00000462,0.00185,9/4/17 20:42,9/4/17 20:42
742375b6-def6-495c-a7b0-956a7bba94a4,BTC-PAY,LIMIT_SELL,10,0.000708,0.0000177,0.00708,9/4/17 20:41,9/4/17 20:41
d72b104f-ca46-4d68-85b3-ec36fd73ab82,BTC-RISE,LIMIT_BUY,20,0.0001099,0.00000545,0.0021816,9/4/17 5:10,9/4/17 5:10
e7594718-88e1-43e8-a312-bde680b62f5d,BTC-BURST,LIMIT_SELL,500,0.00000322,0.00000402,0.00161,9/4/17 5:02,9/4/17 5:02
fb69e07f-41ea-4c75-8a85-4dad66d98919,BTC-RISE,LIMIT_BUY,160,0.00009948,0.00003974,0.015896,9/4/17 5:00,9/4/17 5:00
dcf176d1-f378-4dc9-89d9-766871521410,BTC-REP,LIMIT_SELL,3,0.0053704,0.00004027,0.01611123,9/4/17 4:59,9/4/17 4:59
